genesymbol,cell_type,organ,organism
SELENOP,Macrophages,Immune system,mouse
RBPJ,Macrophages,Immune system,human
SLCO2B1,Microglia,Brain,human
SLCO2B1,Macrophages,Immune system,human
MARCHF1,Macrophages,Immune system,human
EGLN3,Macrophages,Immune system,human
FGL2,Macrophages,Immune system,human
P27784,Microfold cells,GI tract,mouse
P27784,Macrophages,Immune system,mouse
P27784,Neutrophils,Immune system,mouse
CLEC4D,Macrophages,Immune system,human
CLEC4D,Neutrophils,Immune system,human
ADAM8,Neutrophils,Immune system,human
ADAM8,Macrophages,Immune system,human
ARL11,Macrophages,Immune system,human
MMP12,Macrophages,Immune system,human
MS4A4A,Plasma cells,Immune system,human
MS4A4A,Macrophages,Immune system,human
MS4A6A,Macrophages,Immune system,human
MS4A6A,Monocytes,Immune system,human
FPR1,Macrophages,Immune system,human
RAB20,Macrophages,Immune system,human
SNX20,Neutrophils,Immune system,human
SNX20,Macrophages,Immune system,human
FMNL1,Macrophages,Immune system,human
NCEH1,Macrophages,Immune system,human
NCEH1,Mast cells,Immune system,human
CCL24,Macrophages,Immune system,human
CD300A,Macrophages,Immune system,human
CCL7,Macrophages,Immune system,human
CCL7,Mast cells,Immune system,human
IRF5,Plasmacytoid dendritic cells,Immune system,human
IRF5,Macrophages,Immune system,human
MYO1G,Macrophages,Immune system,human
DUSP5,Macrophages,Immune system,human
SAMSN1,Macrophages,Immune system,human
HILPDA,Macrophages,Immune system,human
SLC37A2,Macrophages,Immune system,human
LPCAT2,Macrophages,Immune system,human
LPCAT2,Microglia,Brain,human
HPGDS,Mast cells,Immune system,human
HPGDS,T helper cells,Immune system,human
HPGDS,Macrophages,Immune system,human
HPGDS,Microglia,Brain,human
IFNAR2,Macrophages,Immune system,human
MS4A7,Macrophages,Immune system,human
HPGD,Macrophages,Immune system,human
CD5L,Macrophages,Immune system,human
CYTH4,Microglia,Brain,human
CYTH4,Macrophages,Immune system,human
Q9JKF4,Macrophages,Immune system,mouse
Q0P6C8,Macrophages,Immune system,mouse
Q80ZY1,Macrophages,Immune system,mouse
G3UVT9,Macrophages,Immune system,mouse
Q7TSU6,Macrophages,Immune system,mouse
Q4KL16,Macrophages,Immune system,mouse
Q8CHZ4,Macrophages,Immune system,mouse
D3Z1H5,Macrophages,Immune system,mouse
CD3E,Macrophages,Immune system,human
CD3E,T cells,Immune system,human
CD68,Osteoclasts,Bone,human
CD68,Macrophages,Immune system,human
CYBB,Macrophages,Immune system,human
CD200,Macrophages,Immune system,human
CD200,T follicular helper cells,Immune system,human
CD200R1,Macrophages,Immune system,human
TYROBP,Macrophages,Immune system,human
RGS1,Monocytes,Immune system,human
RGS1,Macrophages,Immune system,human
P2RY6,Osteoclasts,Bone,human
P2RY6,Macrophages,Immune system,human
P2RY6,Microglia,Brain,human
MAF,T regulatory cells,Immune system,human
MAF,Macrophages,Immune system,human
P08905,Macrophages,Immune system,mouse
P08905,Platelets,Blood,mouse
ADGRE5,Platelets,Blood,human
ADGRE5,Macrophages,Immune system,human
Q8JZX6,Macrophages,Immune system,mouse
A0A0N4SUX0,Macrophages,Immune system,mouse
Q80UI7,Macrophages,Immune system,mouse
P45376,Macrophages,Immune system,mouse
SYK,Macrophages,Immune system,human
CSN2,Mammary epithelial cells,Mammary gland,human
CSN1S2A,Mammary epithelial cells,Mammary gland,mouse
BTN1A1,Mammary epithelial cells,Mammary gland,human
TOX3,Mammary epithelial cells,Mammary gland,human
PYGO2,Mammary epithelial cells,Mammary gland,human
SERPINB5,Mammary epithelial cells,Mammary gland,human
P01173,Mammary epithelial cells,Mammary gland,mouse
SLC30A2,Mammary epithelial cells,Mammary gland,human
PADI2,Mammary epithelial cells,Mammary gland,human
PADI2,Sertoli cells,Reproductive,human
CSN3,Mammary epithelial cells,Mammary gland,human
CSN1S1,Mammary epithelial cells,Mammary gland,human
ANO1,Mammary epithelial cells,Mammary gland,human
FOXP4,Microfold cells,GI tract,human
LIF,Myoblasts,Skeletal muscle,human
LIF,Mammary epithelial cells,Mammary gland,human
IL17A,Satellite glial cells,Brain,human
IL17A,T helper cells,Immune system,human
IL17A,Mast cells,Immune system,human
CD274,Mast cells,Immune system,human
CXCR2,Pulmonary alveolar type II cells,Lungs,human
CXCR2,Mast cells,Immune system,human
CXCR2,Megakaryocytes,Immune system,human
CXCR2,Neutrophils,Immune system,human
CMA1,NK cells,Immune system,human
CMA1,Mast cells,Immune system,human
TPSAB1,Mast cells,Immune system,human
RAB27B,Mast cells,Immune system,human
IL1RL1,Mast cells,Immune system,human
IL1RL1,Nuocytes,Immune system,human
GNAI1,Mast cells,Immune system,human
OSBPL8,Mast cells,Immune system,human
ADORA3,Mast cells,Immune system,human
HS3ST1,Mast cells,Immune system,human
DAPP1,Mast cells,Immune system,human
Q3KNA1,Mast cells,Immune system,mouse
PLEK,Platelets,Blood,human
PLEK,Megakaryocytes,Immune system,human
Q3UG61,Mast cells,Immune system,mouse
P21812,Mast cells,Immune system,mouse
TPSB2,Mast cells,Immune system,human
Q5UKY4,Mast cells,Immune system,mouse
RGS13,Plasma cells,Immune system,human
RGS13,Mast cells,Immune system,human
VWA5A,Mast cells,Immune system,human
MILR1,Mast cells,Immune system,human
Q91VB1,Mast cells,Immune system,mouse
Q8VDE7,Mast cells,Immune system,mouse
A0A2I3BR33,Mast cells,Immune system,mouse
HS6ST2,Mast cells,Immune system,human
O35164,Mast cells,Immune system,mouse
Q91WW2,Mast cells,Immune system,mouse
MRGPRX2,Mast cells,Immune system,human
Q8VG56,Mast cells,Immune system,mouse
ADAMTS9,Mast cells,Immune system,human
COBL,Mast cells,Immune system,human
CTSG,Mast cells,Immune system,human
CTSG,Neutrophils,Immune system,human
GRIK2,Mast cells,Immune system,human
HS3ST3A1,Mast cells,Immune system,human
PAPSS2,Mast cells,Immune system,human
PCBD1,Mast cells,Immune system,human
Q9D154,Mast cells,Immune system,mouse
SLC29A1,Mast cells,Immune system,human
SLC45A3,Mast cells,Immune system,human
STARD13,Mast cells,Immune system,human
A4GALT,Mast cells,Immune system,human
ACER3,Mast cells,Immune system,human
ARMCX3,Mast cells,Immune system,human
BBS10,Mast cells,Immune system,human
BMPR2,Mast cells,Immune system,human
C2,Mast cells,Immune system,human
Q9D6N1,Mast cells,Immune system,mouse
CCDC141,Mast cells,Immune system,human
CDC42BPA,Mast cells,Immune system,human
CDH9,Mast cells,Immune system,human
P15119,Mast cells,Immune system,mouse
ZFP91,Mast cells,Immune system,mouse
ZFP91,Podocytes,Kidney,human
Q6KAS7,Mast cells,Immune system,mouse
Q6KAS7,Plasmacytoid dendritic cells,Immune system,mouse
ZDHHC13,Mast cells,Immune system,human
DYNC2I1,Mast cells,Immune system,human
UNC13B,Mast cells,Immune system,human
TRANK1,Mast cells,Immune system,human
TIAM2,Mast cells,Immune system,human
STK32B,Mast cells,Immune system,human
ST6GALNAC3,Mast cells,Immune system,human
SOCS2,Mast cells,Immune system,human
SPRED1,Mast cells,Immune system,human
SLC31A2,Mast cells,Immune system,human
SGCE,Mast cells,Immune system,human
ROR1,Mast cells,Immune system,human
RNF180,Mast cells,Immune system,human
RIOK2,Mast cells,Immune system,human
RBFOX1,Mast cells,Immune system,human
PDE1C,Mast cells,Immune system,human
PCDH7,Mast cells,Immune system,human
Q8VG54,Mast cells,Immune system,mouse
NDST2,Mast cells,Immune system,human
MRGPRX1,Mast cells,Immune system,human
MLPH,Mast cells,Immune system,human
MFGE8,Microfold cells,GI tract,human
MFGE8,Mast cells,Immune system,human
MFGE8,Pericytes,Vasculature,human
LSAMP,Mast cells,Immune system,human
LIMA1,Mast cells,Immune system,human
KRT4,Mast cells,Immune system,human
KDELR3,Mast cells,Immune system,human
HSPA13,Mast cells,Immune system,human
HS2ST1,Mast cells,Immune system,human
GP1BA,Mast cells,Immune system,human
GP1BA,Megakaryocytes,Immune system,human
GP1BA,Platelets,Blood,human
GNAZ,Mast cells,Immune system,human
LRATD1,Mast cells,Immune system,human
NIBAN2,Mast cells,Immune system,human
EXT1,Mast cells,Immune system,human
ESYT3,Mast cells,Immune system,human
ENO2,Neurons,Brain,human
ENO2,Mast cells,Immune system,human
ENAH,Mast cells,Immune system,human
DUSP1,Mast cells,Immune system,human
DGKI,Mast cells,Immune system,human
DCLK3,Mast cells,Immune system,human
LAT,NK cells,Immune system,human
LAT,Megakaryocytes,Immune system,human
LAT,T cells,Immune system,human
PF4,Platelets,Blood,human
PF4,Microglia,Brain,human
PF4,Megakaryocytes,Immune system,human
GP5,Platelets,Blood,human
GP5,Megakaryocytes,Immune system,human
CXCR1,Neutrophils,Immune system,human
CXCR1,Megakaryocytes,Immune system,human
PDE6B,Megakaryocytes,Immune system,human
PDE6B,Pinealocytes,Brain,human
MATK,Megakaryocytes,Immune system,human
MRTFB,Megakaryocytes,Immune system,human
KIF5B,Megakaryocytes,Immune system,human
TSPAN9,Megakaryocytes,Immune system,human
TREML1,Megakaryocytes,Immune system,human
TREML1,Platelets,Blood,human
ALOX12,Megakaryocytes,Immune system,human
ALOX12,Platelets,Blood,human
SELP,Platelets,Blood,human
SELP,Megakaryocytes,Immune system,human
CIB1,Megakaryocytes,Immune system,human
PLK3,Megakaryocytes,Immune system,human
MAFG,Megakaryocytes,Immune system,human
TGFB1,Pancreatic stellate cells,Pancreas,human
TGFB1,NK cells,Immune system,human
TGFB1,Megakaryocytes,Immune system,human
GP9,Megakaryocytes,Immune system,human
GP9,Platelets,Blood,human
MC1R,Melanocytes,Skin,human
PMEL,Melanocytes,Skin,human
TYR,Melanocytes,Skin,human
DCT,Melanocytes,Skin,human
FILIP1L,Mesangial cells,Kidney,human
LOXL2,Podocytes,Kidney,human
HSPB1,Melanocytes,Skin,human
PAX3,Satellite cells,Skeletal muscle,human
PAX3,Melanocytes,Skin,human
PAX3,Myoblasts,Skeletal muscle,human
TRPM1,Melanocytes,Skin,human
CTNS,Melanocytes,Skin,human
ENPP1,Melanocytes,Skin,human
ENPP1,T memory cells,Immune system,human
ENPP1,Plasma cells,Immune system,human
BNC2,Melanocytes,Skin,human
MEN1,Melanocytes,Skin,human
CRABP1,Melanocytes,Skin,human
CRABP1,Smooth muscle cells,Smooth muscle,human
PTN,Melanocytes,Skin,human
PTN,Mesangial cells,Kidney,human
PTN,Tanycytes,Brain,human
PRKN,Melanocytes,Skin,human
KLC2,Melanocytes,Skin,human
IL24,Melanocytes,Skin,human
TPH2,Serotonergic neurons,Brain,human
TPH2,Melanocytes,Skin,human
PRKCA,Plasmacytoid dendritic cells,Immune system,human
PRKCA,Melanocytes,Skin,human
FOXC1,Meningeal cells,Brain,human
FOXC1,Podocytes,Kidney,human
ALDH1A2,Microglia,Brain,human
IGFBP2,Meningeal cells,Brain,human
NNAT,Meningeal cells,Brain,human
NNAT,Oligodendrocyte progenitor cells,Brain,human
SLC47A1,Meningeal cells,Brain,human
CD99,Thymocytes,Thymus,human
ID2,Merkel cells,Skin,human
POU4F3,Merkel cells,Skin,human
TNS1,Mesangial cells,Kidney,human
SFRP2,Pancreatic stellate cells,Pancreas,human
ANGPT2,Pericytes,Vasculature,human
ANGPT2,Myoblasts,Skeletal muscle,human
ANGPT2,Mesangial cells,Kidney,human
YAP1,Pancreatic progenitor cells,Pancreas,human
ITGA8,Smooth muscle cells,Smooth muscle,human
ITGA8,Mesangial cells,Kidney,human
ARID5B,Mesangial cells,Kidney,human
PAWR,Mesangial cells,Kidney,human
SERPINE2,Mesangial cells,Kidney,human
ACTN1,Mesangial cells,Kidney,human
AKAP12,Mesangial cells,Kidney,human
ROCK1,Mesangial cells,Kidney,human
SH3BGRL,Mesangial cells,Kidney,human
RASD1,Mesangial cells,Kidney,human
SNCG,Smooth muscle cells,Smooth muscle,human
SNCG,Mesangial cells,Kidney,human
FLNA,Mesangial cells,Kidney,human
MEF2C,Mesangial cells,Kidney,human
CSTB,Mesangial cells,Kidney,human
SMARCA5,Mesangial cells,Kidney,human
MAP3K20,Mesangial cells,Kidney,human
LRRN4,Mesothelial cells,Epithelium,human
KCNAB1,Smooth muscle cells,Smooth muscle,human
FLNC,Myoblasts,Skeletal muscle,human
FRAS1,Mesothelial cells,Epithelium,human
RSPO1,Mesothelial cells,Epithelium,human
ANXA5,Microfold cells,GI tract,human
SOX8,Microfold cells,GI tract,human
SOX8,Satellite cells,Skeletal muscle,human
SOX8,Oligodendrocytes,Brain,human
MIER3,Microfold cells,GI tract,human
NFIC,Microfold cells,GI tract,human
Q60854,Microfold cells,GI tract,mouse
CTSD,Microfold cells,GI tract,human
MARCKSL1,Microfold cells,GI tract,human
RAC2,Microfold cells,GI tract,human
RAC2,Tuft cells,GI tract,human
CYBA,Microfold cells,GI tract,human
TMPRSS2,Microfold cells,GI tract,human
MTF1,Microfold cells,GI tract,human
TULP4,Microfold cells,GI tract,human
IRF2,Satellite cells,Skeletal muscle,human
IRF2,Microfold cells,GI tract,human
Q3US17,Microfold cells,GI tract,mouse
NFIB,Microfold cells,GI tract,human
P2RY12,Satellite glial cells,Brain,human
P2RY12,Microglia,Brain,human
P2RY12,Platelets,Blood,human
TMEM119,Microglia,Brain,human
CSF3R,Monocytes,Immune system,human
CSF3R,Neutrophils,Immune system,human
TCIRG1,Microglia,Brain,human
VAV1,Microglia,Brain,human
LAG3,Microglia,Brain,human
P22272,Microglia,Brain,mouse
ENTPD1,Microglia,Brain,human
ENTPD1,T regulatory cells,Immune system,human
P2RY13,Microglia,Brain,human
Q91YK7,Microglia,Brain,mouse
D3YYJ5,Microglia,Brain,mouse
Q9EQY5,Microglia,Brain,mouse
A0A4W8,Microglia,Brain,mouse
D6RFU8,Microglia,Brain,mouse
G3UYB4,Microglia,Brain,mouse
B7ZMQ5,Microglia,Brain,mouse
B7ZMQ6,Microglia,Brain,mouse
Q3Y597,Microglia,Brain,mouse
G3X9N0,Microglia,Brain,mouse
A0A4X5,Microglia,Brain,mouse
Q4QQK7,Microglia,Brain,mouse
ITGB5,Podocytes,Kidney,human
ITGB5,Microglia,Brain,human
ITGB5,Osteoclasts,Bone,human
COLEC12,Microglia,Brain,human
PTGS1,Tuft cells,GI tract,human
PTGS1,Microglia,Brain,human
PTGS1,Platelets,Blood,human
APBB1IP,Microglia,Brain,human
MERTK,Microglia,Brain,human
MERTK,Podocytes,Kidney,human
MERTK,Red pulp macrophages,Immune system,human
BIN2,Platelets,Blood,human
OTULINL,Microglia,Brain,mouse
CCRL2,Microglia,Brain,human
CCRL2,Neutrophils,Immune system,human
MRC2,Microglia,Brain,human
Q91ZD5,Microglia,Brain,mouse
Q9DAZ8,Microglia,Brain,mouse
Q812B4,Microglia,Brain,mouse
A0A286YE21,Microglia,Brain,mouse
FCGR3B,Microglia,Brain,mouse
FCGR3B,Monocytes,Immune system,human
CD53,Microglia,Brain,human
FOS,Microglia,Brain,human
SKI,Microglia,Brain,human
APOBEC3A,Monocytes,Immune system,human
DYSF,Monocytes,Immune system,human
MEFV,Monocytes,Immune system,human
PADI4,Monocytes,Immune system,human
TNFRSF14,Monocytes,Immune system,human
ADA2,Monocytes,Immune system,human
MGMT,Monocytes,Immune system,human
ACP5,Osteoclasts,Bone,human
ACP5,Monocytes,Immune system,human
GBP1,Monocytes,Immune system,human
OAS1,Monocytes,Immune system,human
MX1,Monocytes,Immune system,human
IL1RN,Monocytes,Immune system,human
IFIT1,Monocytes,Immune system,human
IDO1,Monocytes,Immune system,human
LTA4H,Sebocytes,Skin,human
CLEC12A,Monocytes,Immune system,human
PRTN3,Monocytes,Immune system,human
PRTN3,Neutrophils,Immune system,human
P0CW03,Monocytes,Immune system,mouse
IFITM3,Monocytes,Immune system,human
P35461,Neutrophils,Immune system,mouse
P35461,Monocytes,Immune system,mouse
PSAP,Monocytes,Immune system,human
FCN1,Monocytes,Immune system,human
PILRA,Neutrophils,Immune system,human
RGS2,Tuft cells,GI tract,human
LYST,Neutrophils,Immune system,human
MNX1,Motor neurons,Brain,human
CNR2,Sebocytes,Skin,human
RDH10,Müller cells,Eye,human
Q8K442,Müller cells,Eye,mouse
CRYM,Tanycytes,Brain,human
Q9WVT6,Müller cells,Eye,mouse
COL4A2,Müller cells,Eye,human
CLU,Sertoli cells,Reproductive,human
CLU,Müller cells,Eye,human
S100A16,Müller cells,Eye,human
DBI,Müller cells,Eye,human
GNAI2,Müller cells,Eye,human
GPR37,Müller cells,Eye,human
GPR37,Oligodendrocytes,Brain,human
KCNJ2,Müller cells,Eye,human
KCNJ10,Müller cells,Eye,human
KCNJ10,Satellite glial cells,Brain,human
SPC25,Müller cells,Eye,human
ITM2B,Müller cells,Eye,human
ATG4B,Müller cells,Eye,human
CA2,Osteoclasts,Bone,human
CA2,Platelets,Blood,human
CA2,Müller cells,Eye,human
ZBED4,Neuroblasts,Brain,human
ZBED4,Müller cells,Eye,human
PRDX6,Tanycytes,Brain,human
PRDX6,Müller cells,Eye,human
CRB1,Müller cells,Eye,human
CEACAM8,Neutrophils,Immune system,human
CD1D,Thymocytes,Thymus,human
MYOG,Myoblasts,Skeletal muscle,human
CDH15,Satellite cells,Skeletal muscle,human
CDH15,Myoblasts,Skeletal muscle,human
MYF5,Satellite cells,Skeletal muscle,human
MYF5,Myoblasts,Skeletal muscle,human
MYOD1,Myoblasts,Skeletal muscle,human
MYOD1,Satellite cells,Skeletal muscle,human
MUSK,Myoblasts,Skeletal muscle,human
STK40,Myoblasts,Skeletal muscle,human
TNFRSF12A,Myoblasts,Skeletal muscle,human
TNFRSF12A,Satellite cells,Skeletal muscle,human
MYD88,Myoblasts,Skeletal muscle,human
SIX1,Satellite cells,Skeletal muscle,human
SIX1,Myoblasts,Skeletal muscle,human
PDZRN3,Myoblasts,Skeletal muscle,human
ITGA7,Satellite cells,Skeletal muscle,human
MSTN,Satellite cells,Skeletal muscle,human
DLL1,Paneth cells,GI tract,human
DOCK1,Podocytes,Kidney,human
DOCK5,Podocytes,Kidney,human
NPHS1,Podocytes,Kidney,human
WIPF1,Platelets,Blood,human
IL12RB2,Natural killer T cells,Immune system,human
IL17RA,Natural killer T cells,Immune system,human
IL12RB1,Natural killer T cells,Immune system,human
KLRB1,Natural killer T cells,Immune system,human
KLRB1,NK cells,Immune system,human
ITGB2,Natural killer T cells,Immune system,human
ITGB2,Platelets,Blood,human
MAP3K8,Plasmacytoid dendritic cells,Immune system,human
MAP3K8,Natural killer T cells,Immune system,human
TNFRSF8,Natural killer T cells,Immune system,human
IL2RB,Natural killer T cells,Immune system,human
IL2RB,NK cells,Immune system,human
TBX21,NK cells,Immune system,human
TBX21,T helper cells,Immune system,human
TBX21,Natural killer T cells,Immune system,human
NCAM1,Neuroblasts,Brain,human
NCAM1,Satellite cells,Skeletal muscle,human
NCAM1,Natural killer T cells,Immune system,human
STYK1,Natural killer T cells,Immune system,human
STYK1,NK cells,Immune system,human
TCF7,T cells,Immune system,human
TCF7,Natural killer T cells,Immune system,human
I7HJS4,Natural killer T cells,Immune system,mouse
SOX1,Neural stem/precursor cells,Brain,human
IGF1R,Neural stem/precursor cells,Brain,human
SP8,Neuroblasts,Brain,human
SP8,Neural stem/precursor cells,Brain,human
SOX3,Neural stem/precursor cells,Brain,human
NEUROG1,Neuroblasts,Brain,human
PLEKHH2,Podocytes,Kidney,human
SP9,Neuroblasts,Brain,human
SP9,Neural stem/precursor cells,Brain,human
DLL3,Neuroblasts,Brain,human
HES5,Radial glia cells,Brain,human
HES5,Sertoli cells,Reproductive,human
HES5,Neural stem/precursor cells,Brain,human
PRSS56,Neural stem/precursor cells,Brain,human
ID4,Neural stem/precursor cells,Brain,human
DCX,Neuroblasts,Brain,human
DCX,Neural stem/precursor cells,Brain,human
CCND2,Neural stem/precursor cells,Brain,human
SALL3,Neuroblasts,Brain,human
DRAXIN,Neuroblasts,Brain,human
ERBB4,Neuroblasts,Brain,human
TRIM32,Satellite cells,Skeletal muscle,human
TRIM32,Neuroblasts,Brain,human
TRIM32,Pluripotent stem cells,,human
IGFBPL1,Neuroblasts,Brain,human
PHF1,Neuroblasts,Brain,human
MAPK7,Neuroblasts,Brain,human
PROKR2,Neuroblasts,Brain,human
POU6F2,Neuroblasts,Brain,human
EFNA2,Neuroblasts,Brain,human
CCKAR,Neuroblasts,Brain,human
GRM5,Neuroblasts,Brain,human
GRM5,Pyramidal cells,Brain,human
EZH2,Neuroblasts,Brain,human
MARK2,Neuroblasts,Brain,human
NCAN,Neuroblasts,Brain,human
EPHA4,Neuroblasts,Brain,human
TACC3,Neuroblasts,Brain,human
TUBB3,Neurons,Brain,human
TUBB3,Neuroblasts,Brain,human
SIRT1,Neuroblasts,Brain,human
PROS1,Neuroblasts,Brain,human
PROS1,Podocytes,Kidney,human
PDE10A,Pinealocytes,Brain,human
PRSS12,Neuroendocrine cells,Brain,human
EPO,Neurons,Brain,human
CSF3,Neurons,Brain,human
NEFH,Neurons,Brain,human
DLG4,Neurons,Brain,human
GABRA1,Neurons,Brain,human
MATN2,Schwann cells,Brain,human
MATN2,Neurons,Brain,human
SLC36A4,Neurons,Brain,human
PRPH,Neurons,Brain,human
MECP2,Neurons,Brain,human
RIN1,Neurons,Brain,human
OMP,Olfactory epithelial cells,Olfactory system,human
OMP,Neurons,Brain,human
PTPN11,Neurons,Brain,human
B3GAT2,Neurons,Brain,human
SHISA2,Neurons,Brain,human
HDAC11,Oligodendrocytes,Brain,human
PPP1R14C,Pulmonary alveolar type II cells,Lungs,human
AVP,Neurons,Brain,human
NECAB2,Neurons,Brain,human
PCP4,Purkinje neurons,Brain,human
PCP4,Neurons,Brain,human
PCP4,Pyramidal cells,Brain,human
BEX2,Neurons,Brain,human
BEX1,Neurons,Brain,human
NDN,Neurons,Brain,human
CAMK2N1,Neurons,Brain,human
PNISR,Neurons,Brain,human
Q8BV32,Neurons,Brain,human
Q4G0K9,Neurons,Brain,human
STMN2,Neurons,Brain,human
PTK2B,Neurons,Brain,human
GNG2,Neurons,Brain,human
VSNL1,Neurons,Brain,human
CACNA2D1,Neurons,Brain,human
SGIP1,Neurons,Brain,human
ATP6V0A1,Neurons,Brain,human
MYO5A,Neurons,Brain,human
PRUNE2,Neurons,Brain,human
ELAVL3,Neurons,Brain,human
DEFA1B,Neutrophils,Immune system,human
DEFA1B,Paneth cells,GI tract,human
DEFA3,Neutrophils,Immune system,human
DEFA3,Paneth cells,GI tract,human
ELANE,Neutrophils,Immune system,human
Q8K426,Neutrophils,Immune system,mouse
O08692,Neutrophils,Immune system,mouse
HP,Neutrophils,Immune system,human
MMP8,Neutrophils,Immune system,human
Q8BWM3,Neutrophils,Immune system,mouse
Q811V2,Neutrophils,Immune system,mouse
LRG1,Neutrophils,Immune system,human
LRG1,Pulmonary alveolar type II cells,Lungs,human
Q9JKE1,Neutrophils,Immune system,mouse
ASPRV1,Neutrophils,Immune system,human
NCF1,Neutrophils,Immune system,human
SORL1,Neutrophils,Immune system,human
ARG2,Neutrophils,Immune system,human
E9QNZ7,Neutrophils,Immune system,mouse
K4DID7,Neutrophils,Immune system,mouse
IL1R2,Neutrophils,Immune system,human
CD177,Neutrophils,Immune system,human
SERPINB1,Neutrophils,Immune system,human
CAMP,Sebocytes,Skin,human
ADPGK,Neutrophils,Immune system,human
PSTPIP1,Neutrophils,Immune system,human
NLRP3,Podocytes,Kidney,human
NLRP3,Osteoblasts,Bone,human
NLRP3,Neutrophils,Immune system,human
KLRK1,NK cells,Immune system,human
SIGLEC7,NK cells,Immune system,human
NCR1,NK cells,Immune system,human
KLRA1,NK cells,Immune system,mouse
GZMH,NK cells,Immune system,human
GZMM,NK cells,Immune system,human
HMBOX1,NK cells,Immune system,human
FASLG,NK cells,Immune system,mouse
FASLG,Sertoli cells,Reproductive,human
CD3G,T cells,Immune system,human
CD3G,NK cells,Immune system,human
CD3G,T helper cells,Immune system,human
PCDH15,Oligodendrocyte progenitor cells,Brain,human
PCDH15,NK cells,Immune system,human
Q8CJC7,NK cells,Immune system,mouse
P27814,NK cells,Immune system,mouse
DUSP2,T cells,Immune system,human
DUSP2,NK cells,Immune system,human
TXK,NK cells,Immune system,human
TXK,T cells,Immune system,human
Q60682,NK cells,Immune system,mouse
DOK2,NK cells,Immune system,human
Q60654,NK cells,Immune system,mouse
A0A1B1ZGB0,NK cells,Immune system,mouse
A0A0F6QAG2,NK cells,Immune system,mouse
Q2TJJ8,NK cells,Immune system,mouse
KLRC2,NK cells,Immune system,human
P27812,NK cells,Immune system,mouse
Q99JB4,NK cells,Immune system,mouse
SAMD3,NK cells,Immune system,human
P27811,NK cells,Immune system,mouse
Q8VD98,NK cells,Immune system,mouse
CHSY1,NK cells,Immune system,human
IL18R1,T cells,Immune system,human
IL18R1,NK cells,Immune system,human
Q64329,NK cells,Immune system,mouse
DOCK2,NK cells,Immune system,human
SH2D2A,NK cells,Immune system,human
Q3V3P4,NK cells,Immune system,mouse
Q3V3P4,Thymocytes,Thymus,mouse
Q91ZY5,NK cells,Immune system,mouse
Q91ZY5,Thymocytes,Thymus,mouse
Q9ES61,NK cells,Immune system,mouse
Q9ES61,Thymocytes,Thymus,mouse
Q8R046,NK cells,Immune system,mouse
Q8R046,Thymocytes,Thymus,mouse
A0A494BAN6,NK cells,Immune system,mouse
A0A494BAN6,Thymocytes,Thymus,mouse
GZMK,NK cells,Immune system,human
GZMK,T cells,Immune system,human
IFNG,T cells,Immune system,human
IFNG,T helper cells,Immune system,human
IFNG,NK cells,Immune system,human
IL2RG,NK cells,Immune system,human
P12399,NK cells,Immune system,mouse
KIR2DL1,NK cells,Immune system,human
KIR3DL1,NK cells,Immune system,human
Q60652,NK cells,Immune system,mouse
LILRB1,NK cells,Immune system,human
KLRG1,NK cells,Immune system,human
NCR3,NK cells,Immune system,human
ADAMTS14,NK cells,Immune system,human
Q9R1G6,NK cells,Immune system,mouse
Q9DAV6,NK cells,Immune system,mouse
Q3TJ69,NK cells,Immune system,mouse
Q6P217,NK cells,Immune system,mouse
Q9QZA0,NK cells,Immune system,mouse
CLEC2D,NK cells,Immune system,human
CLEC2D,T cells,Immune system,human
LAIR2,NK cells,Immune system,human
SLC6A2,Noradrenergic neurons,Brain,human
SLC39A11,Noradrenergic neurons,Brain,human
SLC9B2,Noradrenergic neurons,Brain,human
ICOS,T follicular helper cells,Immune system,human
ICOS,Nuocytes,Immune system,human
ICOS,T cells,Immune system,human
IL17RB,T helper cells,Immune system,human
IL17RB,Plasmacytoid dendritic cells,Immune system,human
IL17RB,Tuft cells,GI tract,human
IL7R,Nuocytes,Immune system,human
IL7R,T cells,Immune system,human
CRLF2,Nuocytes,Immune system,human
CRLF2,Platelets,Blood,human
IL13,T helper cells,Immune system,human
IL13,Nuocytes,Immune system,human
MANEA,Plasma cells,Immune system,human
GNG13,Pinealocytes,Brain,human
GNG13,Tuft cells,GI tract,human
GNG13,Proximal tubule cells,Kidney,human
CSPG4,Oligodendrocyte progenitor cells,Brain,human
CSPG4,Pericytes,Vasculature,human
OLIG2,Oligodendrocyte progenitor cells,Brain,human
OLIG2,Oligodendrocytes,Brain,human
OLIG2,Radial glia cells,Brain,human
MATN4,Oligodendrocyte progenitor cells,Brain,human
C1QL1,Oligodendrocyte progenitor cells,Brain,human
GPR17,Oligodendrocyte progenitor cells,Brain,human
EPN2,Oligodendrocyte progenitor cells,Brain,human
LHFPL3,Oligodendrocyte progenitor cells,Brain,human
NEU4,Oligodendrocyte progenitor cells,Brain,human
LAD1,Oligodendrocyte progenitor cells,Brain,human
SLC25A47,Oligodendrocyte progenitor cells,Brain,human
ETV5,Pulmonary alveolar type II cells,Lungs,human
ETV5,Oligodendrocyte progenitor cells,Brain,human
CSPG5,Oligodendrocyte progenitor cells,Brain,human
OLIG1,Schwann cells,Brain,human
OLIG1,Oligodendrocyte progenitor cells,Brain,human
OLIG1,Oligodendrocytes,Brain,human
